"Date of Download: 2023-12-19_01:44:56"
"Search Parameters: Data Level:all  Trait List:  Trial List:11551  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","branching level counting|CO_334:0000079","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root evaluation scaled 1-5|CO_334:0000228","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","storage root shape visual rating 1-6|CO_334:0000020","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377518","AGH22-0006","","plot","6691989","202307DMF1C_tani_rep1_AGH22-0006_298","1","1","298","3","12","test","","1","0","1","185","3.4375","1.1","2","14","4","1","185","4","5","2","1","13.77363636","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377524","AGH22-0012","","plot","6691940","202307DMF1C_tani_rep1_AGH22-0012_137","1","1","137","14","6","test","","","","1","","0","","1","","4","","","","","","1","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377525","AGH22-0013","","plot","6692025","202307DMF1C_tani_rep1_AGH22-0013_254","1","1","254","4","11","test","","1","0","1","150","9.28125","2.97","2","20","4","1","150","4","4","2","1","19.00025907","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377526","AGH22-0014","","plot","6691609","202307DMF1C_tani_rep1_AGH22-0014_84","1","1","84","17","4","test","","1","1","1","255","25.25","8.08","3","36","4","1","275","4","4","0","1","13.0506993","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377528","AGH22-0016","","plot","6691803","202307DMF1C_tani_rep1_AGH22-0016_227","1","1","227","24","10","test","","1","0","1","350","11.25","3.6","2","11","4","1","350","1","2","1","1","17.15368421","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377533","AGH22-0021","","plot","6691884","202307DMF1C_tani_rep1_AGH22-0021_40","1","1","40","11","2","test","","1","1","1","105","4.65625","1.49","2","12","4","3","155","4","5","4","1","14.56850746","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377539","AGH22-0027","","plot","6692148","202307DMF1C_tani_rep1_AGH22-0027_18","1","1","18","18","1","test","","1","3","1","220","15.59375","4.99","2","20","4","3","300","4","5","0","1","19.8140884","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377543","AGH22-0031","","plot","6691615","202307DMF1C_tani_rep1_AGH22-0031_142","1","1","142","9","6","test","","1","4","1","75","14","4.48","3","20","4","5","150","4","5","0","1","21.16465487","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377548","AGH22-0036","","plot","6691845","202307DMF1C_tani_rep1_AGH22-0036_268","1","1","268","18","11","test","","1","1","1","290","12.1875","3.9","1","17","4","2","380","2","5","0","0.75","24.13573427","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377560","AGH22-0048","","plot","6691755","202307DMF1C_tani_rep1_AGH22-0048_223","1","1","223","23","9","test","","1","1","1","225","11.96875","3.83","3","17","4","4","280","4","4","4","1","12.27883249","5"," (Operator: lizbethpino, Time: )"
