"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_shape1_6","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0006_298",1,298,3,12,"test"," (Operator: lizbethpino, Time: )","AGH22-0006","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,185,3.4375,1.1,2,14,4,1,185,4,5,2,1,13.77363636,1,4,25,3.4375,0.473468749875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0012_137",1,137,14,6,"test"," (Operator: lizbethpino, Time: )","AGH22-0012","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,25,NA,NA
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0013_254",1,254,4,11,"test"," (Operator: lizbethpino, Time: )","AGH22-0013","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,150,9.28125,2.97,2,20,4,1,150,4,4,2,1,19.00025907,1,4,25,9.28125,1.76346154493437
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0014_84",1,84,17,4,"test"," (Operator: lizbethpino, Time: )","AGH22-0014","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,255,25.25,8.08,3,36,4,1,275,4,4,0,1,13.0506993,3,4,25,25.25,3.29530157325
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0016_227",1,227,24,10,"test"," (Operator: lizbethpino, Time: )","AGH22-0016","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,350,11.25,3.6,2,11,4,1,350,1,2,1,1,17.15368421,3,4,25,11.25,1.929789473625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0021_40",1,40,11,2,"test"," (Operator: lizbethpino, Time: )","AGH22-0021","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,105,4.65625,1.49,2,12,4,3,155,4,5,4,1,14.56850746,5,4,25,4.65625,0.67834612860625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0027_18",1,18,18,1,"test"," (Operator: lizbethpino, Time: )","AGH22-0027","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,220,15.59375,4.99,2,20,4,3,300,4,5,0,1,19.8140884,3,4,25,15.59375,3.089759409875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0031_142",1,142,9,6,"test"," (Operator: lizbethpino, Time: )","AGH22-0031","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,4,1,75,14,4.48,3,20,4,5,150,4,5,0,1,21.16465487,5,4,25,14,2.9630516818
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0036_268",1,268,18,11,"test"," (Operator: lizbethpino, Time: )","AGH22-0036","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,290,12.1875,3.9,1,17,4,2,380,2,5,0,0.75,24.13573427,5,4,18.75,12.1875,2.94154261415625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_AGH22-0048_223",1,223,23,9,"test"," (Operator: lizbethpino, Time: )","AGH22-0048","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,225,11.96875,3.83,3,17,4,4,280,4,4,4,1,12.27883249,5,4,25,11.96875,1.46962276364687
